longitude,latitude,aod,k_id
73.69433461802404,35.54999999680917,0.023,73693555
73.56883015638127,35.55833333014176,0.04375,73573556
73.5790736582131,35.55833333014176,0.025,73583556
73.55858665454942,35.55833333014176,0.04175,73563556
73.41256745046468,35.566666663474344,0.0,73413557
73.50476855387721,35.566666663474344,0.04675,73503557
73.51501312092307,35.566666663474344,0.045,73523557
73.52266024186295,35.57499999680693,0.02575,73523557
73.39971264948522,35.57499999680693,0.0,73403557
73.6046253034481,35.57499999680693,0.032,73603557
73.57388840535369,35.57499999680693,0.0225,73573557
73.58413403805183,35.57499999680693,0.03375,73583557
73.5533971399574,35.57499999680693,0.04275,73553557
73.54315150725925,35.57499999680693,0.0405,73543557
73.56364277265556,35.57499999680693,0.02225,73563557
73.59437967074996,35.57499999680693,0.0305,73593557
73.57129730467088,35.58333333013952,0.02375,73573558
73.60203740103773,35.58333333013952,0.0292499999999999,73603558
73.56105060588193,35.58333333013952,0.022,73563558
73.43044954757967,35.57499999680693,0.0,73433557
73.40995828218338,35.57499999680693,0.0,73413557
73.44069518027781,35.57499999680693,0.0,73443557
73.45094081297596,35.57499999680693,0.0,73453557
73.42020391488153,35.57499999680693,0.0,73423557
73.46118644567409,35.57499999680693,0.0412499999999999,73463557
73.41759682283657,35.58333333013952,0.0,73423558
73.45858361799237,35.58333333013952,0.0,73463558
73.44833691920343,35.58333333013952,0.0,73453558
73.42784352162553,35.58333333013952,0.0,73433558
73.39710342525865,35.58333333013952,0.0,73403558
73.5329058745611,35.57499999680693,0.04,73533557
73.49192334376853,35.57499999680693,0.036,73493557
73.51241460916482,35.57499999680693,0.0445,73513557
73.50216897646666,35.57499999680693,0.0505,73503557
73.47907701557028,35.58333333013952,0.0,73483558
73.5200638107261,35.58333333013952,0.036,73523558
73.53031050951506,35.58333333013952,0.03425,73533558
73.54055720830401,35.58333333013952,0.0355,73543558
73.4995704131482,35.58333333013952,0.03375,73503558
73.46883031678132,35.58333333013952,0.035,73473558
73.43809022041448,35.58333333013952,0.0,73443558
73.40735012404761,35.58333333013952,0.0,73413558
73.44573403731941,35.5916666634721,0.0,73453559
73.41499074136404,35.5916666634721,0.0,73413559
73.4252385066825,35.5916666634721,0.0,73433559
73.45598180263785,35.5916666634721,0.0,73463559
73.4662295679563,35.5916666634721,0.0,73473559
73.4047429760456,35.5916666634721,0.0,73403559
73.43548627200094,35.5916666634721,0.0,73443559
73.73530436624812,35.54999999680917,0.0445,73743555
73.73272618569099,35.55833333014176,0.0427499999999999,73733556
73.72248268385911,35.55833333014176,0.045,73723556
73.74296968752284,35.55833333014176,0.043,73743556
73.71223918202726,35.55833333014176,0.04,73713556
73.70199568019542,35.55833333014176,0.03925,73703556
73.69175217836356,35.55833333014176,0.03675,73693556
73.68917076070234,35.566666663474344,0.03725,73693557
73.75063816297738,35.566666663474344,0.04025,73753557
73.58672509024393,35.566666663474344,0.03775,73593557
73.60721422433562,35.566666663474344,0.024,73613557
73.56623595615227,35.566666663474344,0.0405,73573557
73.55599138910642,35.566666663474344,0.0412499999999999,73563557
73.5764805231981,35.566666663474344,0.04025,73583557
73.59696965728976,35.566666663474344,0.02375,73603557
73.5457468220606,35.566666663474344,0.03675,73553557
73.661021672868,35.55833333014176,0.0345,73663556
73.67126517469985,35.55833333014176,0.03825,73673556
73.6815086765317,35.55833333014176,0.039,73683556
73.64819249251899,35.566666663474344,0.033,73653557
73.66868162661066,35.566666663474344,0.01925,73673557
73.65843705956483,35.566666663474344,0.03425,73663557
73.67892619365651,35.566666663474344,0.03675,73683557
73.73014902888568,35.566666663474344,0.0414999999999999,73733557
73.70965989479402,35.566666663474344,0.03825,73713557
73.74039359593155,35.566666663474344,0.03975,73743557
73.71990446183985,35.566666663474344,0.03775,73723557
